機關別,上年底留監人數,本年入監人數,本年出獄人數,新入監人數,本年年底留監人數,上年底留監人數+本年入監人數
臺灣臺北監獄,5701,11437,11108,9073,6030,17138
臺灣桃園監獄,1412,4686,4748,3850,1350,6098
臺灣桃園女子監獄,1031,1573,1380,1470,1224,2604
臺灣新竹監獄,2166,2713,2570,1304,2309,4879
臺灣臺中監獄,7292,9325,9086,6701,7531,16617
臺灣臺中女子監獄,1025,805,736,466,1094,1830
臺灣彰化監獄,2726,3160,3146,985,2740,5886
臺灣雲林監獄,1454,1101,1095,62,1460,2555
臺灣雲林第二監獄,1675,3001,2860,1510,1816,4676
臺灣嘉義監獄,3346,2977,2948,1244,3375,6323
臺灣臺南監獄,4874,4771,4513,2244,5132,9645
臺灣明德外役監獄,315,314,291,19,338,629
臺灣高雄監獄,2828,3156,3633,1860,2351,5984
臺灣高雄第二監獄,1698,5122,5036,4501,1784,6820
臺灣高雄女子監獄,1073,1010,872,703,1211,2083
臺灣屏東監獄,3252,3486,3360,1556,3378,6738
臺灣臺東監獄,3580,3933,3323,1021,4190,7513
臺灣花蓮監獄,1664,1555,1363,953,1856,3219
臺灣自強外役監獄,247,340,252,11,335,587
臺灣宜蘭監獄,2434,2756,2472,1716,2718,5190
臺灣基隆監獄,511,1137,1140,916,508,1648
臺灣澎湖監獄,1796,690,568,78,1918,2486
臺灣綠島監獄,192,52,69,0,175,244
明陽中學,333,103,120,3,316,436
福建金門監獄,83,97,94,90,86,180
,52708,69300,66783,42336,55225,
