監關別,死刑宣告,新受徒刑拘役之執行,罰金,緩刑撤銷,新入監人數
臺灣臺北監獄,0,8275,772,26,9073
臺灣桃園監獄,0,3577,250,23,3850
臺灣桃園女子監獄,0,1425,45,0,1470
臺灣新竹監獄,0,1117,186,1,1304
臺灣臺中監獄,0,6453,200,48,6701
臺灣臺中女子監獄,0,450,11,5,466
臺灣彰化監獄,0,924,53,8,985
臺灣雲林監獄,0,23,39,0,62
臺灣雲林第二監獄,0,1445,56,9,1510
臺灣嘉義監獄,0,1193,51,0,1244
臺灣臺南監獄,0,1978,266,0,2244
臺灣明德外役監獄,0,1,18,0,19
臺灣高雄監獄,0,1715,145,0,1860
臺灣高雄第二監獄,0,4267,210,24,4501
臺灣高雄女子監獄,0,681,22,0,703
臺灣屏東監獄,0,1446,102,8,1556
臺灣臺東監獄,0,911,107,3,1021
臺灣花蓮監獄,0,886,50,17,953
臺灣自強外役監獄,0,0,11,0,11
臺灣宜蘭監獄,0,1675,40,1,1716
臺灣基隆監獄,0,903,9,4,916
臺灣澎湖監獄,0,65,12,1,78
臺灣綠島監獄,0,0,0,0,0
明陽中學,0,3,0,0,3
福建金門監獄,0,90,0,0,90
,,39503,2655,178,42336
